Result Number,Entity  ID,Agency,Vendor ID,Recording Technique,Project,Event,Roll,Frame,Acquisition Date,Scale,Strip Number,Image Type,Quality,Cloud Cover,Photo ID,Flying Height in Feet,Film Length and Width,Focal Length,Stereo Overlap,Other,Center Latitude,Center Longitude,NW Corner Lat ,NW Corner Long,NE Corner lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Ordering ID,Download Link
373,AR5780026164839,5,,2,78000,,002616,4839,1978/06/20,64142,0000,13,8,1,5780026164839,65003,229mm x 229mm,304.99 mm,5,,60°43'23.89"N,153°36'34.55"W,60°47'08.89"N,153°44'04.60"W,60°47'05.41"N,153°28'56.75"W,60°39'38.01"N,153°29'02.76"W,60°39'43.21"N,153°44'10.61"W,60.723302,-153.609597,60.785803,-153.73461,60.784835,-153.48243,60.660558,-153.4841,60.662003,-153.73628,AR5780026164839,AR5780026164839,http://earthexplorer.usgs.gov/download/options/4660/AR5780026164839
374,AR5780026164716,5,,2,78000,,002616,4716,1978/06/20,63937,0000,13,8,1,5780026164716,65003,229mm x 229mm,304.99 mm,5,,60°47'30.38"N,154°29'40.19"W,60°51'12.00"N,154°37'34.00"W,60°51'12.00"N,154°22'23.20"W,60°43'49.14"N,154°21'47.20"W,60°43'48.36"N,154°36'58.00"W,60.791773,-154.494498,60.853333,-154.62611,60.853333,-154.37311,60.730317,-154.36311,60.730099,-154.61611,AR5780026164716,AR5780026164716,http://earthexplorer.usgs.gov/download/options/4660/AR5780026164716
375,AR5780026164715,5,,2,78000,,002616,4715,1978/06/20,63937,0000,13,8,1,5780026164715,65003,229mm x 229mm,304.99 mm,5,,60°47'30.20"N,154°36'35.60"W,60°51'12.00"N,154°44'30.01"W,60°51'12.00"N,154°29'17.99"W,60°43'48.78"N,154°28'41.99"W,60°43'48.00"N,154°43'54.01"W,60.791723,-154.609888,60.853333,-154.74167,60.853333,-154.48833,60.730218,-154.47833,60.73,-154.73167,AR5780026164715,AR5780026164715,http://earthexplorer.usgs.gov/download/options/4660/AR5780026164715
376,AR5780026164741,5,,2,78000,,002616,4741,1978/06/20,64000,0000,13,8,1,5780026164741,65003,229mm x 229mm,304.99 mm,5,,60°36'27.33"N,153°43'01.59"W,60°40'11.61"N,153°50'28.90"W,60°40'05.61"N,153°35'27.28"W,60°32'42.54"N,153°35'33.25"W,60°32'49.54"N,153°50'34.91"W,60.607593,-153.717109,60.669891,-153.84136,60.668225,-153.59091,60.545151,-153.59257,60.547095,-153.84303,AR5780026164741,AR5780026164741,http://earthexplorer.usgs.gov/download/options/4660/AR5780026164741
377,AR5780026164724,5,,2,78000,,002616,4724,1978/06/20,63937,0000,13,8,1,5780026164724,65003,229mm x 229mm,304.99 mm,5,,60°47'31.79"N,153°35'00.20"W,60°51'12.00"N,153°42'49.21"W,60°51'12.00"N,153°27'47.99"W,60°43'51.96"N,153°27'11.99"W,60°43'51.18"N,153°42'13.21"W,60.792164,-153.58339,60.853333,-153.71367,60.853333,-153.46333,60.731099,-153.45333,60.730884,-153.70367,AR5780026164724,AR5780026164724,http://earthexplorer.usgs.gov/download/options/4660/AR5780026164724
378,AR5780026164840,5,,2,78000,,002616,4840,1978/06/20,64142,0000,13,8,1,5780026164840,65003,229mm x 229mm,304.99 mm,5,,60°43'25.83"N,153°43'21.17"W,60°47'10.45"N,153°50'50.75"W,60°47'06.97"N,153°35'43.84"W,60°39'40.34"N,153°35'49.85"W,60°39'45.54"N,153°50'56.76"W,60.723842,-153.722548,60.786235,-153.84743,60.785269,-153.59551,60.661206,-153.59718,60.66265,-153.8491,AR5780026164840,AR5780026164840,http://earthexplorer.usgs.gov/download/options/4660/AR5780026164840
379,AR5780026164742,5,,2,78000,,002616,4742,1978/06/20,64000,0000,13,8,1,5780026164742,65003,229mm x 229mm,304.99 mm,5,,60°36'30.34"N,153°49'58.86"W,60°40'14.38"N,153°57'25.09"W,60°40'08.39"N,153°42'25.63"W,60°32'45.79"N,153°42'31.61"W,60°32'52.77"N,153°57'31.07"W,60.608427,-153.833016,60.67066,-153.95697,60.668998,-153.70712,60.546053,-153.70878,60.547992,-153.95863,AR5780026164742,AR5780026164742,http://earthexplorer.usgs.gov/download/options/4660/AR5780026164742
380,AR5780026164723,5,,2,78000,,002616,4723,1978/06/20,63937,0000,13,8,1,5780026164723,65003,229mm x 229mm,304.99 mm,5,,60°47'31.62"N,153°41'46.00"W,60°51'12.00"N,153°49'35.58"W,60°51'12.00"N,153°34'33.20"W,60°43'51.61"N,153°33'57.20"W,60°43'50.83"N,153°48'59.58"W,60.792116,-153.69611,60.853333,-153.82655,60.853333,-153.57589,60.731003,-153.56589,60.730787,-153.81655,AR5780026164723,AR5780026164723,http://earthexplorer.usgs.gov/download/options/4660/AR5780026164723
381,AR5780026164841,5,,2,78000,,002616,4841,1978/06/20,64142,0000,13,8,1,5780026164841,65003,229mm x 229mm,304.99 mm,5,,60°43'27.85"N,153°50'18.87"W,60°47'12.00"N,153°57'36.00"W,60°47'08.53"N,153°42'29.99"W,60°39'42.81"N,153°43'00.01"W,60°39'48.00"N,153°58'05.99"W,60.724402,-153.838575,60.786667,-153.96,60.785702,-153.70833,60.661891,-153.71667,60.663333,-153.96833,AR5780026164841,AR5780026164841,http://earthexplorer.usgs.gov/download/options/4660/AR5780026164841
382,AR5780026164743,5,,2,78000,,002616,4743,1978/06/20,64000,0000,13,8,1,5780026164743,65003,229mm x 229mm,304.99 mm,5,,60°36'33.33"N,153°56'53.94"W,60°40'17.13"N,154°04'19.09"W,60°40'11.16"N,153°49'21.79"W,60°32'49.02"N,153°49'27.80"W,60°32'55.98"N,154°04'25.07"W,60.609257,-153.948318,60.671425,-154.07197,60.669767,-153.82272,60.54695,-153.82439,60.548884,-154.07363,AR5780026164743,AR5780026164743,http://earthexplorer.usgs.gov/download/options/4660/AR5780026164743
